word1,word2,human,
take,remove,6.81,SYNONYMS
walk,trail,4.81,COHYPONYMS
feed,starve,1.49,ANTONYMS
shine,polish,7.8,SYNONYMS
calculate,add,5.98,HYPER/HYPONYMS
cheat,sneak,3.65,NONE
pardon,forgive,8.96,HYPER/HYPONYMS
smell,sniff,7.97,HYPER/HYPONYMS
plow,dig,6.64,NONE
believe,pretend,1.66,NONE
tap,pat,6.97,NONE
condemn,kill,3.65,NONE
crunch,crack,3.65,NONE
erode,destroy,6.34,NONE
try,practice,4.65,NONE
tear,fold,0.66,NONE
replace,move,1.49,HYPER/HYPONYMS
respond,ignore,0.83,NONE
rationalize,argue,4.48,HYPER/HYPONYMS
laugh,sing,1.99,NONE
attack,sneak,1.66,COHYPONYMS
descend,go,3.32,HYPER/HYPONYMS
decompose,dissolve,6.14,NONE
miss,catch,0,NONE
yell,accuse,1.99,NONE
feel,touch,7.8,HYPER/HYPONYMS
connect,separate,1.49,ANTONYMS
decay,deteriorate,8.13,HYPER/HYPONYMS
protect,defend,7.8,HYPER/HYPONYMS
bake,broil,5.98,SYNONYMS
remove,detach,7.47,NONE
describe,define,7.97,NONE
drive,walk,1.49,COHYPONYMS
build,grow,4.81,HYPER/HYPONYMS
decay,decompose,8.3,SYNONYMS
cover,protect,6.81,HYPER/HYPONYMS
dislike,ignore,3.15,NONE
forget,recall,0.33,ANTONYMS
comprehend,learn,7.3,NONE
reflect,look,4.15,NONE
defeat,beat,8.47,HYPER/HYPONYMS
know,inform,1.99,NONE
remind,repeat,5.31,NONE
go,let,2.82,NONE
dislike,disown,3.82,NONE
go,advance,6.64,HYPER/HYPONYMS
produce,reproduce,5.98,HYPER/HYPONYMS
recommend,assist,4.15,NONE
shake,shiver,6.31,HYPER/HYPONYMS
take,carry,5.64,HYPER/HYPONYMS
accomplish,succeed,8.3,HYPER/HYPONYMS
drive,operate,4.98,HYPER/HYPONYMS
ask,tell,0.66,HYPER/HYPONYMS
gather,reap,5.98,HYPER/HYPONYMS
bend,break,4.65,NONE
tear,break,6.14,COHYPONYMS
jump,skip,5.48,SYNONYMS
agree,admit,3.98,NONE
give,bring,4.98,COHYPONYMS
go,move,6.31,SYNONYMS
kill,shoot,5.31,HYPER/HYPONYMS
crunch,chew,6.47,HYPER/HYPONYMS
carry,tow,4.98,NONE
sing,hum,5.98,COHYPONYMS
dismay,upset,6.64,NONE
shun,ignore,8.63,NONE
believe,know,3.65,NONE
hurt,smash,4.65,HYPER/HYPONYMS
prefer,hate,1,NONE
cook,bake,7.8,HYPER/HYPONYMS
reprimand,yell,4.48,NONE
break,destroy,8.3,HYPER/HYPONYMS
hit,slap,7.97,NONE
wrap,tie,5.31,NONE
upset,frustrate,7.64,NONE
show,preview,5.64,NONE
accuse,tell,2.49,NONE
hate,disown,4.48,NONE
pounce,bounce,2.99,NONE
respect,like,5.48,COHYPONYMS
sell,purchase,2.16,ANTONYMS
put,take,1.49,HYPER/HYPONYMS
charge,cover,1.66,NONE
melt,freeze,0.17,ANTONYMS
agree,differ,1.16,ANTONYMS
flap,fold,2.16,NONE
die,survive,0.15,NONE
pull,lift,2.82,COHYPONYMS
hitch,ride,4.48,HYPER/HYPONYMS
live,let,1.99,NONE
sow,plow,2.32,NONE
destroy,kill,7.8,HYPER/HYPONYMS
obtain,get,9.3,HYPER/HYPONYMS
buy,sell,0,ANTONYMS
deposit,put,6.47,HYPER/HYPONYMS
rise,wake,8.3,NONE
pray,kneel,1.83,NONE
jump,climb,1.99,HYPER/HYPONYMS
rescue,survive,1.16,NONE
succeed,overcome,6.97,NONE
look,examine,8.3,HYPER/HYPONYMS
delay,pause,8.13,HYPER/HYPONYMS
take,use,3.15,HYPER/HYPONYMS
color,decorate,4.48,COHYPONYMS
get,achieve,6.31,NONE
drink,intoxicate,4.23,NONE
die,deteriorate,2.49,NONE
treat,buy,4.98,NONE
dump,waste,5.98,COHYPONYMS
learn,evaluate,3.65,NONE
know,meet,2.82,NONE
compete,finish,4.98,NONE
sing,rap,5.58,NONE
beat,kill,3.65,HYPER/HYPONYMS
thaw,melt,8.47,SYNONYMS
kidnap,capture,7.8,NONE
gulp,slurp,4.98,NONE
walk,jog,4.32,NONE
think,presume,3.49,HYPER/HYPONYMS
say,speak,9.3,NONE
tend,help,7.47,HYPER/HYPONYMS
see,meet,5.31,SYNONYMS
preview,look,7.3,NONE
forget,decay,0.83,NONE
kick,punch,1.66,COHYPONYMS
claim,take,5.15,SYNONYMS
sell,borrow,0.66,NONE
confuse,understand,0.5,NONE
want,crave,7.64,HYPER/HYPONYMS
veer,look,1.16,NONE
persuade,discourage,1.66,NONE
arrive,depart,1,ANTONYMS
skip,miss,7.14,HYPER/HYPONYMS
talk,describe,5.15,NONE
take,acquire,6.31,HYPER/HYPONYMS
perform,entertain,7.14,NONE
wipe,wash,4.81,NONE
pray,hope,6.97,NONE
decline,lower,3.32,NONE
determine,understand,6.31,NONE
sting,prick,6.31,SYNONYMS
search,seek,9.63,SYNONYMS
disprove,dislike,8.3,NONE
pull,detach,4.32,NONE
disbelieve,believe,0.33,ANTONYMS
lean,fall,2.16,HYPER/HYPONYMS
get,grab,6.31,HYPER/HYPONYMS
control,hold,5.15,HYPER/HYPONYMS
alter,change,9.63,SYNONYMS
kidnap,take,5.98,HYPER/HYPONYMS
disturb,interrupt,8.63,SYNONYMS
seem,appear,7.64,SYNONYMS
repeat,do,2.99,NONE
compose,create,8.13,HYPER/HYPONYMS
justify,prove,6.31,NONE
separate,combine,0.5,ANTONYMS
disintegrate,melt,5.15,NONE
have,hold,4.81,SYNONYMS
kill,live,0.33,NONE
descend,lower,7.64,NONE
disprove,agree,0.33,NONE
run,hurry,5.98,HYPER/HYPONYMS
reap,gain,6.97,HYPER/HYPONYMS
rub,hold,1.49,NONE
finish,start,0.5,ANTONYMS
pull,tow,7.3,HYPER/HYPONYMS
swap,give,3.17,NONE
annoy,aggravate,8.13,NONE
deteriorate,disappear,3.92,NONE
hike,trail,5.48,NONE
compute,add,6.14,HYPER/HYPONYMS
pull,strain,3.65,NONE
assault,hit,8.13,NONE
inhale,breathe,7.97,HYPER/HYPONYMS
sneak,lie,5.48,NONE
brush,paint,6.97,COHYPONYMS
want,get,2.16,NONE
create,imagine,4.81,HYPER/HYPONYMS
travel,move,6.47,SYNONYMS
desire,need,5.13,NONE
rationalize,think,7.47,HYPER/HYPONYMS
hide,deny,4.48,NONE
increase,raise,8.13,HYPER/HYPONYMS
talk,criticize,2.66,NONE
determine,discover,5.64,NONE
think,realize,5.15,NONE
boom,crash,6.31,COHYPONYMS
replace,fix,2.11,NONE
fall,dive,4.15,HYPER/HYPONYMS
hold,reserve,6.31,HYPER/HYPONYMS
implode,explode,3.15,ANTONYMS
sprain,strain,5.98,NONE
respond,speak,7.3,NONE
regret,forget,0.83,NONE
travel,go,7.97,SYNONYMS
flee,fight,0.91,NONE
soak,bleach,2.99,NONE
accept,allow,6.94,HYPER/HYPONYMS
add,reduce,0.33,NONE
save,deposit,5.48,NONE
jump,dive,5.15,HYPER/HYPONYMS
hurt,prick,4.32,HYPER/HYPONYMS
hide,repress,6.64,NONE
bring,carry,4.98,HYPER/HYPONYMS
get,ask,2.49,COHYPONYMS
spin,turn,6.97,HYPER/HYPONYMS
overflow,fill,3.98,NONE
offend,bother,6.14,NONE
break,replace,0.5,HYPER/HYPONYMS
run,hide,1,NONE
start,begin,8.8,SYNONYMS
spoil,perish,4.81,NONE
weave,drive,0.91,COHYPONYMS
prepare,cook,6.14,SYNONYMS
pretend,imitate,4.65,NONE
lose,forget,4.07,HYPER/HYPONYMS
hunt,kill,6.81,NONE
let,allow,8.8,SYNONYMS
look,appear,4.98,SYNONYMS
tug,jerk,7.14,NONE
dive,swim,4.32,HYPER/HYPONYMS
dance,sway,3.82,NONE
whisper,yell,0.83,NONE
salute,acknowledge,4.65,NONE
become,make,4.15,HYPER/HYPONYMS
scare,surprise,5.31,NONE
sway,move,6.81,HYPER/HYPONYMS
go,send,1.49,NONE
float,drift,7.3,SYNONYMS
move,shift,7.55,HYPER/HYPONYMS
reprimand,correct,6.31,HYPER/HYPONYMS
leave,evacuate,7.47,NONE
clench,hold,6.64,NONE
concentrate,wander,0.5,NONE
suppose,guess,7.14,SYNONYMS
split,leave,2.99,NONE
get,put,1.33,NONE
receive,send,2.32,NONE
begin,introduce,4.32,HYPER/HYPONYMS
call,yell,7.64,SYNONYMS
cook,mix,3.49,COHYPONYMS
ridicule,tease,8.47,COHYPONYMS
associate,connect,6.97,SYNONYMS
entertain,enjoy,2.32,NONE
reply,respond,9.79,SYNONYMS
attack,beat,7.8,NONE
evict,throw,3.15,NONE
crackle,pop,3.15,NONE
sew,rip,0.83,NONE
call,respond,5.15,NONE
lose,find,0,ANTONYMS
reject,accept,0.83,ANTONYMS
run,evacuate,4.15,NONE
hurry,rush,9.79,HYPER/HYPONYMS
defend,prosecute,0.33,ANTONYMS
convince,lie,1.49,NONE
lower,degrade,7.8,NONE
enjoy,relax,5.81,NONE
disintegrate,dissolve,8.13,COHYPONYMS
introduce,show,6.14,NONE
want,yearn,7.64,HYPER/HYPONYMS
remark,talk,5.81,NONE
float,drown,0.66,NONE
sit,lie,3.32,ANTONYMS
die,drown,4.81,HYPER/HYPONYMS
combine,integrate,8.47,HYPER/HYPONYMS
appear,see,3.65,NONE
smear,wipe,6.31,COHYPONYMS
insult,offend,8.13,HYPER/HYPONYMS
aggravate,irritate,8.3,HYPER/HYPONYMS
flow,pour,5.31,HYPER/HYPONYMS
play,swing,3.15,HYPER/HYPONYMS
demand,need,2.82,SYNONYMS
drip,sink,1.99,COHYPONYMS
confess,lie,1.83,NONE
remember,retain,8.63,HYPER/HYPONYMS
sink,float,0.33,ANTONYMS
remind,think,3.32,NONE
tell,instruct,6.97,HYPER/HYPONYMS
take,replace,1.16,NONE
destroy,demolish,9.13,HYPER/HYPONYMS
fade,bleach,4.48,NONE
run,escape,4.65,HYPER/HYPONYMS
abuse,neglect,6.64,NONE
take,choose,3.82,SYNONYMS
fly,launch,4.32,NONE
remember,recall,9.13,SYNONYMS
tell,talk,8.3,HYPER/HYPONYMS
boil,fry,3.32,NONE
vacate,leave,8.63,HYPER/HYPONYMS
keep,hold,6.14,SYNONYMS
testify,confess,4.81,NONE
delay,wait,5.48,HYPER/HYPONYMS
yawn,stretch,2.32,NONE
make,compose,7.3,HYPER/HYPONYMS
make,do,4.15,SYNONYMS
drink,vomit,0.15,NONE
grill,burn,2.99,NONE
grab,hold,7.97,NONE
smoke,cough,2.66,NONE
reappear,vanish,1.49,NONE
think,pause,4.48,NONE
help,participate,6.14,NONE
fight,kill,4.15,NONE
rise,lift,7.47,SYNONYMS
swap,change,7.97,HYPER/HYPONYMS
crawl,climb,2.32,NONE
see,hear,1.99,SYNONYMS
win,fight,2.49,NONE
leap,fall,1.66,NONE
strike,blow,7.3,COHYPONYMS
beat,hurt,5.64,NONE
go,flee,6.14,NONE
blend,mix,8.3,SYNONYMS
meet,attend,3.82,NONE
fall,rise,0.33,ANTONYMS
help,assist,8,SYNONYMS
climb,fall,1.49,ANTONYMS
burn,melt,5.81,NONE
borrow,beg,2.66,NONE
give,beg,0.66,NONE
let,release,4.65,NONE
increase,add,7.97,HYPER/HYPONYMS
unload,carry,1.49,NONE
talk,debate,5.81,HYPER/HYPONYMS
describe,write,3.65,HYPER/HYPONYMS
hear,tell,0.83,NONE
doze,nap,8.8,HYPER/HYPONYMS
stab,shoot,1.83,NONE
grasp,understand,8.47,HYPER/HYPONYMS
destroy,repair,0.83,NONE
accept,deny,1,ANTONYMS
combine,join,7.47,NONE
join,gather,5.15,NONE
deny,reject,8.3,HYPER/HYPONYMS
bend,turn,3.32,HYPER/HYPONYMS
evict,move,2.66,HYPER/HYPONYMS
tell,testify,4.98,HYPER/HYPONYMS
define,mean,5.15,NONE
triumph,defeat,4.65,NONE
stop,whistle,0.33,NONE
die,crash,2.82,HYPER/HYPONYMS
realize,discover,7.14,NONE
guess,try,2.32,NONE
rub,grate,5.15,HYPER/HYPONYMS
drag,pull,7.3,HYPER/HYPONYMS
spell,speak,2.16,NONE
remove,evict,6.14,NONE
win,award,3.98,NONE
hide,bury,5.31,HYPER/HYPONYMS
gain,get,8.63,HYPER/HYPONYMS
forgive,regret,1.16,NONE
hide,find,1.66,NONE
relax,stretch,3.65,NONE
see,squint,3.15,NONE
flee,escape,9.79,HYPER/HYPONYMS
jerk,prick,0.5,NONE
wear,erode,3.32,NONE
waste,throw,2.66,NONE
bury,forget,3.98,SYNONYMS
frustrate,annoy,8.3,HYPER/HYPONYMS
learn,teach,2.82,SYNONYMS
come,bring,1.83,NONE
wait,stay,6.47,NONE
burst,laugh,2.16,NONE
look,inspect,8.96,NONE
portray,play,5.81,HYPER/HYPONYMS
lose,defeat,2.32,NONE
steal,rob,9.46,HYPER/HYPONYMS
transplant,remove,3.49,NONE
speak,listen,0.66,NONE
think,compute,5.81,HYPER/HYPONYMS
punish,deny,2.99,NONE
solve,compute,5.15,HYPER/HYPONYMS
organize,prepare,7.3,SYNONYMS
overflow,spill,7.14,HYPER/HYPONYMS
disperse,spread,9.3,HYPER/HYPONYMS
ask,suggest,4.32,NONE
walk,talk,1.33,NONE
toast,burn,5.64,NONE
haunt,scare,6.19,NONE
drink,gulp,6.47,HYPER/HYPONYMS
protect,help,5.15,NONE
admit,give,2.32,ANTONYMS
stay,come,1,NONE
win,finish,4.48,NONE
condemn,hate,5.64,NONE
lean,sway,6.14,NONE
kill,annihilate,8.13,HYPER/HYPONYMS
want,hope,5.15,HYPER/HYPONYMS
slide,show,0.66,NONE
scream,squeal,7.97,NONE
join,integrate,7.8,NONE
permit,deny,0.5,ANTONYMS
choke,swallow,0.5,NONE
smell,perspire,1.49,NONE
keep,snatch,1.83,NONE
engage,go,6.14,NONE
sprinkle,pour,2.66,COHYPONYMS
save,restore,2.82,NONE
do,perform,7.47,SYNONYMS
develop,create,8.3,HYPER/HYPONYMS
supply,give,6.97,HYPER/HYPONYMS
get,have,7.64,HYPER/HYPONYMS
look,observe,9.3,NONE
earn,gain,6.31,SYNONYMS
dunk,drown,5.64,NONE
seize,control,4.48,NONE
ponder,reflect,7.55,SYNONYMS
rap,speak,3.49,HYPER/HYPONYMS
change,replace,6.81,HYPER/HYPONYMS
prohibit,stop,7.14,NONE
build,destroy,0.5,NONE
choose,elect,8.47,HYPER/HYPONYMS
survive,struggle,3.32,NONE
crash,wreck,6.64,NONE
release,go,3.82,NONE
decrease,lower,9.13,HYPER/HYPONYMS
leave,escape,5.64,HYPER/HYPONYMS
regret,worry,5.31,NONE
hold,hug,7.64,HYPER/HYPONYMS
push,urge,6.64,HYPER/HYPONYMS
run,charge,5.15,NONE
drift,move,5.31,HYPER/HYPONYMS
mow,plow,4.32,NONE
rinse,wash,7.64,SYNONYMS
make,develop,6.14,HYPER/HYPONYMS
visit,travel,6.31,HYPER/HYPONYMS
receive,give,0.66,NONE
print,press,5.31,NONE
dismiss,go,2.99,HYPER/HYPONYMS
express,tell,5.98,HYPER/HYPONYMS
break,connect,0.33,NONE
veer,move,3.98,HYPER/HYPONYMS
fade,perish,6.47,NONE
glance,stare,2.49,COHYPONYMS
hate,respect,0.17,NONE
doubt,disbelieve,8.8,HYPER/HYPONYMS
persuade,ask,4.15,NONE
beat,mistreat,5.64,NONE
lie,deceive,9.3,COHYPONYMS
scribble,draw,8.13,HYPER/HYPONYMS
grab,release,0.33,NONE
comfort,relax,5.15,NONE
sweat,shiver,1.16,NONE
exist,die,1.16,NONE
strive,try,7.47,HYPER/HYPONYMS
perceive,understand,8.3,HYPER/HYPONYMS
squeeze,crush,7.3,SYNONYMS
solve,find,6.14,NONE
show,dance,2.82,NONE
entertain,sing,5.98,NONE
stretch,pull,6.47,HYPER/HYPONYMS
adjourn,finish,7.97,HYPER/HYPONYMS
think,determine,3.82,NONE
soothe,console,8.3,SYNONYMS
disturb,awake,5.43,NONE
finish,diminish,3.15,NONE
talk,pray,2.49,NONE
stop,hamper,4.98,NONE
leap,hop,6.31,HYPER/HYPONYMS
tear,demolish,4.98,NONE
blow,pop,2.49,COHYPONYMS
accept,refuse,1.83,ANTONYMS
return,recall,4.81,SYNONYMS
teach,educate,9.63,HYPER/HYPONYMS
believe,accept,5.64,HYPER/HYPONYMS
attack,kill,4.23,NONE
save,reserve,6.97,HYPER/HYPONYMS
inspect,find,5.31,NONE
demolish,wreck,9.3,NONE
tell,suggest,3.65,HYPER/HYPONYMS
gamble,win,2.66,NONE
reflect,see,4.15,NONE
split,crack,7.97,NONE
gain,learn,3.98,NONE
understand,comprehend,9.79,HYPER/HYPONYMS
console,help,4.81,NONE
pay,buy,5.48,HYPER/HYPONYMS
deliver,take,2.49,NONE
comprehend,perceive,5.43,SYNONYMS
sneak,slither,4.81,NONE
restore,repair,8.47,SYNONYMS
buy,purchase,9.46,SYNONYMS
make,reproduce,5.81,HYPER/HYPONYMS
punish,forbid,2.32,NONE
watch,examine,7.24,HYPER/HYPONYMS
perspire,sweat,9.63,SYNONYMS
judge,condemn,6.47,NONE
move,stay,0.5,ANTONYMS
nag,complain,8.13,HYPER/HYPONYMS
listen,learn,1.33,NONE
retreat,hide,5.81,NONE
remove,add,0.17,ANTONYMS
assume,presume,5.81,SYNONYMS
acknowledge,admit,6.81,SYNONYMS
reject,dislike,6.97,NONE
obey,command,2.16,NONE
win,play,1.16,NONE
stain,smudge,4.81,NONE
remember,realize,5.64,NONE
assault,attack,8.63,SYNONYMS
tumble,fall,8.3,HYPER/HYPONYMS
drink,lounge,1.33,NONE
abuse,hurt,6.97,NONE
fight,tackle,3.82,NONE
disturb,upset,5.98,SYNONYMS
push,shun,2.49,NONE
help,criticize,0.66,NONE
permit,disallow,1.66,ANTONYMS
meet,swap,1.83,NONE
please,beg,1.16,NONE
renounce,defeat,3.32,HYPER/HYPONYMS
participate,engage,6.47,NONE
snap,break,7.7,HYPER/HYPONYMS
boom,explode,8.63,NONE
get,replace,4.15,NONE
toss,turn,4.23,HYPER/HYPONYMS
laugh,embarrass,2.32,NONE
save,rescue,9.79,HYPER/HYPONYMS
upset,hurt,6.31,HYPER/HYPONYMS
appear,vanish,1.83,ANTONYMS
smell,offend,0.66,NONE
help,lend,5.98,NONE
move,avoid,3.65,NONE
talk,communicate,7.47,HYPER/HYPONYMS
disturb,irritate,7.14,NONE
diminish,disappear,6.31,HYPER/HYPONYMS
betray,lie,7.97,NONE
slurp,suck,5.81,NONE
stop,go,1.16,HYPER/HYPONYMS
look,glance,8.8,HYPER/HYPONYMS
hit,abuse,7.14,NONE
destroy,construct,0.5,NONE
reject,hurt,4.32,NONE
hike,walk,7.3,HYPER/HYPONYMS
show,express,6.64,SYNONYMS
humiliate,embarrass,8.8,NONE
choke,cough,3.32,NONE
tickle,tease,3.15,NONE
compute,analyze,7.14,NONE
ride,drive,4.98,SYNONYMS
greet,salute,6.64,HYPER/HYPONYMS
prosecute,judge,5.64,NONE
perform,dance,6.31,NONE
invent,create,7.8,HYPER/HYPONYMS
squeak,crack,2.16,NONE
avoid,deny,2.82,NONE
divide,unite,0.17,ANTONYMS
spank,scold,3.15,NONE
call,collect,1.81,NONE
sip,gulp,2.99,COHYPONYMS
crave,need,7.3,NONE
cover,bury,6.97,COHYPONYMS
hurt,offend,6.81,SYNONYMS
win,compete,3.98,NONE
hit,beat,7.97,COHYPONYMS
change,spare,1.83,NONE
tickle,giggle,3.32,NONE
bother,affect,5.98,HYPER/HYPONYMS
haul,pull,8.13,HYPER/HYPONYMS
go,start,8.3,SYNONYMS
disprove,prove,1.83,HYPER/HYPONYMS
draw,attract,3.32,HYPER/HYPONYMS
sit,rise,0.3,ANTONYMS
protect,watch,4.98,NONE
achieve,accomplish,8.47,SYNONYMS
taste,acquire,2.82,NONE
read,write,1.81,NONE
shake,dance,5.15,COHYPONYMS
degrade,embarrass,5.81,NONE
attempt,try,8.63,SYNONYMS
pray,bless,4.15,NONE
polish,tarnish,2.32,NONE
mimic,tease,5.81,NONE
save,drown,1.33,NONE
grind,smash,4.65,NONE
need,depend,5.81,NONE
yearn,learn,0.83,NONE
defend,help,5.64,NONE
bake,fry,4.81,COHYPONYMS
snuggle,hug,6.97,NONE
compute,understand,7.14,NONE
tear,wear,1.49,NONE
plead,please,1.66,NONE
neglect,leave,5.98,NONE
unload,dump,7.64,NONE
watch,see,8.13,HYPER/HYPONYMS
slay,kill,9.46,HYPER/HYPONYMS
originate,begin,7.64,HYPER/HYPONYMS
avoid,hide,5.81,NONE
show,perform,6.14,NONE
prosper,grow,7.14,NONE
become,arrive,1.33,NONE
transplant,exchange,5.98,NONE
strike,hit,8.96,SYNONYMS
talk,argue,3.82,HYPER/HYPONYMS
kill,poach,3.32,NONE
tell,squeal,4.81,NONE
please,request,1.83,NONE
lose,subtract,2.66,NONE
admit,tell,4.98,NONE
go,stay,0,ANTONYMS
concentrate,think,7.97,HYPER/HYPONYMS
save,help,8.3,NONE
disintegrate,decay,7.3,SYNONYMS
delay,stop,4.15,NONE
add,multiply,3.15,COHYPONYMS
give,return,3.32,HYPER/HYPONYMS
slide,fall,3.82,NONE
blow,whistle,2.82,COHYPONYMS
portray,show,8.63,NONE
attend,appear,4.15,NONE
insult,criticize,7.14,NONE
allow,deny,0.17,ANTONYMS
practice,repeat,7.47,NONE
find,determine,5.48,SYNONYMS
rip,tear,9.96,HYPER/HYPONYMS
nag,annoy,6.31,NONE
hit,connect,3.82,HYPER/HYPONYMS
yell,scream,8,SYNONYMS
hoot,holler,6.81,NONE
mend,break,1,ANTONYMS
organize,gather,4.81,NONE
suggest,advise,8.63,SYNONYMS
overwhelm,confuse,5.31,NONE
ask,please,1.66,NONE
change,affect,6.97,HYPER/HYPONYMS
amuse,entertain,8.13,HYPER/HYPONYMS
haul,take,4.32,NONE
suppose,imagine,6.31,SYNONYMS
follow,come,4.15,SYNONYMS
spend,save,1,HYPER/HYPONYMS
tap,touch,7.64,HYPER/HYPONYMS
fling,shoot,4.81,NONE
meet,introduce,2.82,NONE
rationalize,justify,8.8,SYNONYMS
update,review,4.32,NONE
sew,weave,5.15,NONE
shrink,grow,1,NONE
fail,try,1.49,NONE
destroy,smash,6.79,HYPER/HYPONYMS
steal,sneak,6.14,HYPER/HYPONYMS
retreat,go,3.49,HYPER/HYPONYMS
run,rush,6.81,HYPER/HYPONYMS
lean,stand,3.98,COHYPONYMS
return,take,1.49,HYPER/HYPONYMS
rejoice,celebrate,8.3,NONE
choke,die,4.65,SYNONYMS
hate,shun,5.64,NONE
disown,renounce,7.64,SYNONYMS
reject,refuse,7.97,HYPER/HYPONYMS
teach,show,5.81,NONE
fight,disagree,5.98,NONE
debate,decide,4.65,NONE
follow,chase,7.14,HYPER/HYPONYMS
reject,disown,6.47,HYPER/HYPONYMS
desire,yearn,7.47,HYPER/HYPONYMS
die,smother,2.66,NONE
unite,combine,8.3,SYNONYMS
tell,notify,7.64,NONE
defrost,freeze,1.99,NONE
triumph,succeed,9.79,NONE
say,announce,8.3,HYPER/HYPONYMS
destroy,explode,4.15,HYPER/HYPONYMS
enjoy,participate,2.32,NONE
knit,crochet,4.98,HYPER/HYPONYMS
laugh,tickle,3.98,NONE
tell,convince,4.48,NONE
achieve,finish,5.48,NONE
scratch,rub,3.98,SYNONYMS
stamp,lick,0.17,NONE
hurt,ache,5.64,SYNONYMS
wrap,cover,8.47,HYPER/HYPONYMS
help,hurt,0,NONE
think,reflect,8.13,HYPER/HYPONYMS
follow,lead,0.17,ANTONYMS
run,operate,6.31,SYNONYMS
ignore,hurt,2.66,NONE
deny,prohibit,8.63,NONE
realize,set,1.16,NONE
exchange,swap,9.63,HYPER/HYPONYMS
assume,judge,5.81,HYPER/HYPONYMS
compound,mix,5.81,HYPER/HYPONYMS
destroy,crush,6.97,NONE
bleach,wash,3.98,NONE
accuse,defend,0.66,NONE
fade,vanish,6.97,HYPER/HYPONYMS
