word1,word2,human,
demand,command,6.14,HYPER/HYPONYMS
decline,descend,5.64,HYPER/HYPONYMS
spell,hypnotize,3.65,NONE
enter,admit,5.31,NONE
poach,boil,4.65,NONE
overcome,dominate,4.81,NONE
assume,suppose,9.13,HYPER/HYPONYMS
deliver,give,6.97,HYPER/HYPONYMS
prove,show,6.31,SYNONYMS
detach,attach,0.33,ANTONYMS
blow,hit,3.15,COHYPONYMS
detach,separate,8.13,HYPER/HYPONYMS
assist,aid,9.63,SYNONYMS
chew,bite,6.97,NONE
float,swim,4.65,COHYPONYMS
squeal,laugh,5.64,NONE
need,urge,4.65,NONE
spill,pour,4.65,COHYPONYMS
acquire,accumulate,8.47,NONE
retreat,run,5.64,COHYPONYMS
hurt,fall,2.32,NONE
respond,remark,5.15,NONE
correct,fix,8.3,NONE
remain,stay,9.13,SYNONYMS
blame,hate,3.15,NONE
flip,flap,1.99,NONE
glide,flow,4.15,NONE
drink,quench,6.34,NONE
have,retain,6.47,HYPER/HYPONYMS
scratch,hurt,4.32,NONE
go,leave,8.45,HYPER/HYPONYMS
begin,stop,0.33,ANTONYMS
scribble,write,6.97,HYPER/HYPONYMS
think,feel,3.32,HYPER/HYPONYMS
swim,dip,3.15,ANTONYMS
ascend,descend,1.06,ANTONYMS
erode,deteriorate,7.47,COHYPONYMS
evict,leave,4.32,NONE
flush,blush,5.31,SYNONYMS
rearrange,organize,8.13,COHYPONYMS
smell,sweat,4.32,NONE
dance,entertain,2.99,NONE
stumble,fall,7.47,NONE
demand,reprimand,2.82,NONE
humiliate,insult,5.98,NONE
crunch,bite,6.64,NONE
tell,announce,7.97,HYPER/HYPONYMS
smash,break,9.46,HYPER/HYPONYMS
stop,adjourn,7.97,HYPER/HYPONYMS
wash,soak,5.15,NONE
run,skip,4.15,NONE
reflect,shine,6.14,SYNONYMS
excuse,interrupt,0.66,NONE
speak,tell,6.81,NONE
complain,disagree,3.82,NONE
punch,fight,6.14,NONE
marry,wed,8.47,SYNONYMS
entertain,show,5.15,NONE
push,fight,4.98,HYPER/HYPONYMS
learn,read,2.32,SYNONYMS
shun,reject,7.97,NONE
decline,reject,9.13,SYNONYMS
explain,describe,8.13,HYPER/HYPONYMS
deny,admit,0.33,ANTONYMS
leave,excuse,4.38,NONE
dismiss,excuse,5.48,NONE
think,ponder,8.8,HYPER/HYPONYMS
hit,pinch,2.99,NONE
frighten,scare,8.96,NONE
whistle,hum,4.98,COHYPONYMS
play,perform,5.98,HYPER/HYPONYMS
leave,take,1.16,ANTONYMS
sell,barter,5.31,COHYPONYMS
wreck,drive,0.91,NONE
get,acquire,9.66,SYNONYMS
arrest,prosecute,3.49,NONE
snooze,doze,8.63,SYNONYMS
condemn,accuse,6.14,NONE
help,cry,0.66,NONE
conquer,dominate,6.64,NONE
receive,acquire,7.14,HYPER/HYPONYMS
unite,marry,5.98,HYPER/HYPONYMS
retreat,advance,0.33,ANTONYMS
catch,chase,3.49,NONE
jerk,pull,5.48,HYPER/HYPONYMS
assault,hurt,6.81,NONE
travel,roam,4.83,HYPER/HYPONYMS
attack,fight,6.97,HYPER/HYPONYMS
hitch,attach,3.82,HYPER/HYPONYMS
bother,interrupt,6.14,NONE
receive,deliver,1.49,NONE
capture,take,7.47,HYPER/HYPONYMS
move,leave,4.81,HYPER/HYPONYMS
achieve,try,4.15,NONE
retreat,charge,2.82,NONE
fasten,hold,4.32,NONE
rationalize,understand,5.98,NONE
restore,fix,7.8,SYNONYMS
come,leave,1,ANTONYMS
aggravate,frustrate,7.47,NONE
spank,hurt,4.15,NONE
smell,taste,2.49,COHYPONYMS
lower,raise,0,ANTONYMS
sink,dip,6.14,SYNONYMS
hate,ignore,1.49,NONE
strain,lift,1.83,NONE
console,comfort,8.3,SYNONYMS
play,lead,2.32,NONE
talk,console,2.99,NONE
tease,bother,4.98,HYPER/HYPONYMS
deny,lie,4.15,NONE
excel,advance,5.81,NONE
annoy,irritate,9.3,SYNONYMS
retreat,attack,0.83,NONE
drink,pop,0.5,HYPER/HYPONYMS
spank,hit,8.3,NONE
shatter,break,7.3,HYPER/HYPONYMS
lower,reduce,9.13,NONE
reappear,fix,1,NONE
sneak,hide,5.64,NONE
breathe,smother,0.66,NONE
adjourn,leave,4.81,NONE
persuade,urge,6.81,NONE
accumulate,gain,9.13,COHYPONYMS
wiggle,move,7.14,HYPER/HYPONYMS
renounce,deny,5.81,HYPER/HYPONYMS
miss,hit,0.17,ANTONYMS
vary,differ,8.63,HYPER/HYPONYMS
move,change,4.15,HYPER/HYPONYMS
tow,move,4.48,HYPER/HYPONYMS
tell,describe,7.64,NONE
punish,hit,4.48,NONE
talk,listen,1.16,NONE
urge,beg,4.98,NONE
grab,clench,6.47,COHYPONYMS
heal,help,5.31,HYPER/HYPONYMS
let,permit,8.13,SYNONYMS
search,look,9.63,SYNONYMS
lie,promise,0.33,COHYPONYMS
set,swing,1.66,HYPER/HYPONYMS
jog,run,7.47,HYPER/HYPONYMS
stain,tarnish,6.79,SYNONYMS
talk,say,8.96,NONE
diminish,fade,7.8,HYPER/HYPONYMS
ignore,disregard,7.8,SYNONYMS
die,kill,0.83,NONE
spank,slap,7.64,NONE
sew,crochet,6.81,NONE
talk,associate,4.15,NONE
touch,kiss,3.49,HYPER/HYPONYMS
loosen,tie,0.33,ANTONYMS
lie,assume,1.49,NONE
gather,collect,9.63,SYNONYMS
punish,reprimand,7.97,NONE
have,want,1.83,NONE
tote,carry,7.3,HYPER/HYPONYMS
fly,soar,8.3,HYPER/HYPONYMS
reduce,save,4.15,NONE
stop,stay,6.47,HYPER/HYPONYMS
spank,cry,1.16,NONE
obey,follow,7.97,HYPER/HYPONYMS
lose,control,0.17,NONE
glide,hang,1.66,NONE
grab,take,5.98,HYPER/HYPONYMS
hop,jump,6.81,HYPER/HYPONYMS
argue,disagree,6.64,NONE
slide,move,4.48,HYPER/HYPONYMS
incline,tend,5.15,SYNONYMS
stop,hesitate,5.15,NONE
toss,fling,8.13,HYPER/HYPONYMS
kneel,beg,4.81,NONE
stare,look,7.47,HYPER/HYPONYMS
disintegrate,perish,7.97,NONE
dislike,shun,5.81,NONE
deposit,return,0.6,NONE
stop,disallow,6.81,NONE
walk,crawl,2.32,COHYPONYMS
renounce,reject,7.47,HYPER/HYPONYMS
snore,snooze,4.15,NONE
look,see,7.97,HYPER/HYPONYMS
assault,aggravate,3.65,NONE
obtain,have,7.8,NONE
beware,watch,4.81,HYPER/HYPONYMS
talk,rap,4.32,HYPER/HYPONYMS
tell,lie,2.16,NONE
cover,spread,4.98,HYPER/HYPONYMS
descend,leave,2.66,NONE
take,snatch,7.8,HYPER/HYPONYMS
call,bluff,2.66,NONE
cover,hide,6.47,HYPER/HYPONYMS
pick,elect,7.47,COHYPONYMS
smear,rub,5.98,HYPER/HYPONYMS
keep,save,8.47,HYPER/HYPONYMS
decrease,increase,0.17,ANTONYMS
disprove,disagree,5.98,NONE
sow,sew,1.66,NONE
claim,sue,2.82,NONE
allow,go,2.66,NONE
triumph,win,9.79,HYPER/HYPONYMS
forget,leave,3.15,SYNONYMS
sit,lounge,6.47,HYPER/HYPONYMS
disappear,dissolve,6.47,NONE
defend,stand,1.66,HYPER/HYPONYMS
overcome,conquer,7.8,HYPER/HYPONYMS
deliver,bring,6.14,HYPER/HYPONYMS
kneel,sit,2.82,NONE
hurt,limp,2.99,NONE
disprove,reject,6.31,NONE
yell,holler,9.13,SYNONYMS
make,design,4.81,HYPER/HYPONYMS
like,want,3.82,HYPER/HYPONYMS
acquire,gain,8.8,HYPER/HYPONYMS
regret,dislike,3.15,NONE
accept,understand,7.3,HYPER/HYPONYMS
wiggle,giggle,0.83,NONE
hop,skip,5.81,SYNONYMS
push,pull,0.83,ANTONYMS
veer,turn,5.43,HYPER/HYPONYMS
assume,know,2.49,NONE
hurt,condemn,2.32,NONE
defrost,thaw,8.47,HYPER/HYPONYMS
scream,roar,7.14,HYPER/HYPONYMS
convince,talk,4.32,NONE
retreat,leave,8.47,NONE
annoy,confuse,2.49,NONE
reject,ignore,7.3,HYPER/HYPONYMS
destroy,diminish,5.64,NONE
haul,lift,6.14,NONE
wait,hesitate,6.14,HYPER/HYPONYMS
give,sell,2.32,HYPER/HYPONYMS
rise,lower,0.33,NONE
hurt,cry,2.49,NONE
multiply,increase,7.3,HYPER/HYPONYMS
stop,flow,0.17,NONE
prosecute,try,4.48,COHYPONYMS
justify,clarify,4.32,NONE
acknowledge,greet,5.64,NONE
scold,yell,6.47,NONE
shuffle,travel,1.66,HYPER/HYPONYMS
lose,fail,7.14,NONE
speak,renounce,3.98,NONE
come,go,1.83,HYPER/HYPONYMS
yell,criticize,1.83,NONE
bake,make,6.19,HYPER/HYPONYMS
originate,start,8.45,SYNONYMS
attack,tackle,5.15,HYPER/HYPONYMS
use,operate,8.47,NONE
run,flow,2.66,SYNONYMS
collect,acquire,6.97,HYPER/HYPONYMS
move,turn,4.81,HYPER/HYPONYMS
enter,leave,1.16,ANTONYMS
engage,marry,4.48,NONE
grab,reach,7.14,COHYPONYMS
agree,disagree,0.66,ANTONYMS
replace,fill,3.15,NONE
hurt,whip,3.98,NONE
whip,punish,5.81,NONE
yell,roar,7.47,HYPER/HYPONYMS
hurt,feel,5.15,COHYPONYMS
fall,bounce,1.66,COHYPONYMS
choose,pick,9.63,HYPER/HYPONYMS
sew,knit,5.98,NONE
perish,leave,1.33,NONE
ponder,toil,3.15,NONE
wipe,spill,1,NONE
affect,respond,1.66,NONE
deliver,send,6.14,NONE
fix,mend,9.3,SYNONYMS
evaluate,examine,7.8,HYPER/HYPONYMS
become,grow,5.15,HYPER/HYPONYMS
learn,know,5.64,NONE
glare,reflect,3.49,HYPER/HYPONYMS
cook,boil,5.98,COHYPONYMS
lead,direct,6.97,SYNONYMS
talk,reply,5.31,NONE
inspect,search,6.31,COHYPONYMS
respond,talk,4.98,NONE
argue,differ,6.14,NONE
betray,cheat,7.3,SYNONYMS
decrease,decline,6.64,HYPER/HYPONYMS
increase,reduce,1.33,NONE
blur,smear,7.47,SYNONYMS
irritate,frustrate,7.8,HYPER/HYPONYMS
sell,hustle,3.65,COHYPONYMS
release,unload,7.14,NONE
want,demand,4.48,HYPER/HYPONYMS
swear,damn,6.14,NONE
squint,glare,3.82,NONE
yell,hoot,3.49,NONE
result,finish,6.64,NONE
kick,hurt,3.98,NONE
incline,decline,0.33,NONE
leave,ascend,0.66,COHYPONYMS
be,become,5.81,NONE
hypnotize,control,5.48,NONE
leave,return,0.15,NONE
despair,upset,3.65,NONE
determine,guess,1.99,NONE
beg,ask,4.48,COHYPONYMS
kneel,bend,4.81,NONE
pelt,hit,6.81,NONE
lie,admit,3.32,NONE
pinch,punch,2.99,NONE
hit,pat,3.98,NONE
prosecute,charge,6.31,NONE
convince,explain,5.31,NONE
retain,keep,9.46,HYPER/HYPONYMS
magnify,look,5.81,NONE
join,unite,9.3,HYPER/HYPONYMS
differ,disagree,8.3,SYNONYMS
lie,disbelieve,1.49,NONE
annoy,mimic,1.33,NONE
retain,hold,8.13,HYPER/HYPONYMS
exist,live,8.3,SYNONYMS
keep,find,3.49,NONE
receive,take,5.98,HYPER/HYPONYMS
know,think,2.57,HYPER/HYPONYMS
send,get,1.83,NONE
recommend,suggest,8.47,HYPER/HYPONYMS
beat,whip,5.81,HYPER/HYPONYMS
pelt,throw,5.98,HYPER/HYPONYMS
win,lose,1.66,ANTONYMS
hit,punch,7.64,HYPER/HYPONYMS
appear,reappear,4.65,HYPER/HYPONYMS
like,adore,5.15,NONE
jump,flip,3.98,COHYPONYMS
magnify,see,3.98,NONE
argue,discuss,4.15,NONE
guess,know,1.83,NONE
remark,say,7.97,HYPER/HYPONYMS
burst,explode,8.13,SYNONYMS
notify,inform,8.75,HYPER/HYPONYMS
prepare,fix,3.15,HYPER/HYPONYMS
erode,decay,7.8,HYPER/HYPONYMS
do,participate,7.97,NONE
reduce,diminish,6.81,HYPER/HYPONYMS
explain,understand,1.66,NONE
crawl,run,1.33,COHYPONYMS
fasten,attach,8.47,HYPER/HYPONYMS
embarrass,blush,5.48,NONE
hurt,bite,4.48,HYPER/HYPONYMS
ignore,avoid,8.47,NONE
cry,sob,8.96,HYPER/HYPONYMS
flex,stretch,6.47,COHYPONYMS
deny,forbid,8.47,NONE
pinch,squeeze,6.64,SYNONYMS
conquer,win,7.47,NONE
grant,give,6.97,HYPER/HYPONYMS
perish,disappear,3.62,NONE
prohibit,ban,9.3,HYPER/HYPONYMS
shrink,reduce,9.13,SYNONYMS
command,tell,7.8,HYPER/HYPONYMS
teach,inform,6.81,HYPER/HYPONYMS
waste,decompose,4.81,NONE
demand,supply,3.15,NONE
cry,upset,5.98,NONE
suggest,say,5.81,HYPER/HYPONYMS
beg,need,3.65,NONE
lose,gain,0.33,ANTONYMS
abduct,kidnap,8.63,SYNONYMS
give,disown,0.5,NONE
sway,swing,7.47,SYNONYMS
urge,crave,4.15,NONE
broil,cook,6.97,HYPER/HYPONYMS
disallow,forbid,8.8,SYNONYMS
melt,defrost,8.8,HYPER/HYPONYMS
reproduce,breed,9.46,HYPER/HYPONYMS
invent,make,6.64,HYPER/HYPONYMS
spell,write,5.31,SYNONYMS
push,shove,9.3,HYPER/HYPONYMS
carry,hold,7.09,HYPER/HYPONYMS
slide,swing,3.49,COHYPONYMS
collect,keep,5.15,HYPER/HYPONYMS
stray,wander,7.47,SYNONYMS
remove,strip,7.47,HYPER/HYPONYMS
decompose,destroy,5.48,NONE
crackle,crunch,6.31,SYNONYMS
think,hesitate,2.99,NONE
pretend,imagine,6.97,NONE
bump,hit,7.3,HYPER/HYPONYMS
appear,come,3.65,NONE
examine,inspect,8.96,HYPER/HYPONYMS
increase,accelerate,5.89,HYPER/HYPONYMS
presume,believe,5.31,NONE
acknowledge,exist,2.32,NONE
grind,grate,6.47,SYNONYMS
pop,explode,6.97,NONE
tell,listen,0.66,NONE
drive,permit,1.16,NONE
break,unite,0.5,COHYPONYMS
smell,touch,1,COHYPONYMS
release,relax,4.48,NONE
beat,abuse,6.81,NONE
bother,aggravate,7.3,NONE
grasp,hold,9.3,HYPER/HYPONYMS
take,seize,8.13,HYPER/HYPONYMS
acquire,buy,7.3,HYPER/HYPONYMS
create,reproduce,5.15,HYPER/HYPONYMS
explode,blow,5.81,NONE
perceive,think,6.34,NONE
wander,search,6.97,NONE
whisper,scream,0.33,NONE
punch,drink,0.83,NONE
grab,pick,6.81,NONE
bend,stretch,6.14,NONE
pour,drip,3.15,HYPER/HYPONYMS
yell,announce,5.89,NONE
inform,ask,2.49,COHYPONYMS
acknowledge,accept,6.81,HYPER/HYPONYMS
repair,replace,2.66,NONE
destroy,corrupt,5.81,NONE
look,review,6.14,NONE
crush,grind,7.47,COHYPONYMS
do,stop,0.33,NONE
go,strive,2.57,NONE
pop,burst,8.8,HYPER/HYPONYMS
make,break,0.17,ANTONYMS
weave,knit,6.14,COHYPONYMS
lose,gamble,1.83,NONE
lean,lay,2.32,HYPER/HYPONYMS
determine,decide,7.8,HYPER/HYPONYMS
hurt,strain,5.81,NONE
adore,admire,7.8,NONE
pay,treat,5.15,NONE
usurp,use,1.49,NONE
wander,worry,1.66,NONE
disguise,hide,7.97,HYPER/HYPONYMS
steal,cheat,3.98,NONE
change,differ,5.81,NONE
observe,see,9.3,HYPER/HYPONYMS
cough,sneeze,3.15,NONE
prefer,want,6.14,NONE
leave,flee,7.8,HYPER/HYPONYMS
mistreat,hurt,6.14,NONE
kill,overpower,3.49,HYPER/HYPONYMS
cry,tease,1.51,NONE
defend,justify,6.81,HYPER/HYPONYMS
depart,go,9.63,SYNONYMS
design,invent,6.47,COHYPONYMS
knock,tap,5.31,SYNONYMS
let,do,0.66,NONE
disperse,separate,5.31,HYPER/HYPONYMS
reap,sow,0.66,NONE
squeak,squeal,7.47,NONE
begin,finish,1.83,ANTONYMS
throw,fling,8.3,HYPER/HYPONYMS
interrupt,break,4.65,SYNONYMS
justify,argue,5.48,HYPER/HYPONYMS
pluck,pull,6.47,HYPER/HYPONYMS
evaluate,judge,8.47,HYPER/HYPONYMS
diminish,shrink,6.97,HYPER/HYPONYMS
flush,embarrass,4.65,NONE
make,create,8.6,SYNONYMS
change,become,5.48,HYPER/HYPONYMS
advise,help,6.97,NONE
bump,knock,7.47,SYNONYMS
pounce,hit,2.49,NONE
crackle,snap,3.92,NONE
listen,watch,1.16,NONE
hurt,burn,2.99,HYPER/HYPONYMS
achieve,excel,7.64,NONE
surprise,overwhelm,4.81,NONE
leave,visit,1.99,NONE
arrest,suspect,3.82,NONE
accomplish,finish,6.97,HYPER/HYPONYMS
tell,predict,5.48,HYPER/HYPONYMS
spring,bounce,8.8,HYPER/HYPONYMS
accept,decline,0,ANTONYMS
laugh,enjoy,5.98,NONE
admit,say,4.98,NONE
win,overcome,5.31,NONE
portray,imitate,7.64,NONE
rip,mend,1.49,NONE
hold,stay,4.48,COHYPONYMS
choke,smother,6.14,NONE
cook,fry,6.64,HYPER/HYPONYMS
dunk,soak,5.48,COHYPONYMS
jump,pounce,7.97,NONE
help,scream,1.16,NONE
grab,snatch,7.97,COHYPONYMS
humiliate,laugh,0.17,NONE
review,read,4.32,NONE
wear,fit,4.81,NONE
confuse,frustrate,5.15,NONE
go,enter,5.81,NONE
repeat,mimic,8.13,NONE
fly,ascend,6.64,COHYPONYMS
do,dare,1.66,NONE
win,accomplish,5.81,HYPER/HYPONYMS
vanish,diminish,6.81,HYPER/HYPONYMS
dance,tap,2.66,HYPER/HYPONYMS
fit,trim,3.65,HYPER/HYPONYMS
send,give,5.48,HYPER/HYPONYMS
add,accumulate,8.47,COHYPONYMS
give,lend,6.49,HYPER/HYPONYMS
disappoint,betray,3.49,HYPER/HYPONYMS
forbid,stop,7.8,HYPER/HYPONYMS
blame,accuse,8.47,HYPER/HYPONYMS
disallow,discourage,5.48,NONE
recommend,tell,4.48,HYPER/HYPONYMS
win,dominate,3.65,NONE
dissolve,melt,6.31,HYPER/HYPONYMS
slither,crawl,6.81,COHYPONYMS
grab,seize,7.14,HYPER/HYPONYMS
swim,drown,1.49,SYNONYMS
discover,invent,5.31,NONE
tell,remind,5.64,NONE
call,talk,4.98,HYPER/HYPONYMS
justify,explain,8.13,HYPER/HYPONYMS
tease,play,5.48,NONE
fill,cover,3.49,NONE
help,warn,3.82,NONE
put,give,2.99,HYPER/HYPONYMS
avoid,shun,7.47,HYPER/HYPONYMS
relax,soothe,6.31,NONE
hate,despise,9.46,HYPER/HYPONYMS
understand,clarify,4.15,NONE
fix,heal,7.09,NONE
capture,release,0.66,NONE
achieve,strive,4.15,NONE
condemn,ridicule,4.48,NONE
educate,inform,8.47,HYPER/HYPONYMS
upset,disappoint,6.97,NONE
reduce,subtract,8.8,HYPER/HYPONYMS
follow,trail,7.47,HYPER/HYPONYMS
hustle,dance,3.82,NONE
cast,break,1.33,NONE
greet,meet,5.98,NONE
breathe,exhale,7.8,HYPER/HYPONYMS
attend,come,8.75,COHYPONYMS
hurt,insult,5.81,HYPER/HYPONYMS
strive,seek,6.97,HYPER/HYPONYMS
mend,heal,6.81,SYNONYMS
steal,snatch,6.34,NONE
lie,lay,6.31,SYNONYMS
stop,wait,5.31,NONE
incline,rise,3.62,NONE
swim,meet,0.5,NONE
change,turn,4.15,HYPER/HYPONYMS
forgive,beg,0.66,NONE
hide,scare,2.16,NONE
rearrange,move,8.3,HYPER/HYPONYMS
build,construct,9.96,SYNONYMS
hit,attack,6.81,HYPER/HYPONYMS
criticize,offend,3.32,NONE
lick,taste,4.98,NONE
succeed,achieve,7.8,HYPER/HYPONYMS
exchange,return,5.48,NONE
annoy,disturb,7.3,NONE
broil,burn,2.66,NONE
convince,agree,1.16,NONE
complain,annoy,2.66,NONE
slap,pat,2.99,NONE
fasten,loosen,0.33,NONE
overcome,triumph,8.63,NONE
scratch,scribble,4.15,NONE
crash,smash,6.81,COHYPONYMS
sip,swallow,5.15,NONE
sniff,scratch,0.5,NONE
decide,analyze,2.66,NONE
swap,fly,1,COHYPONYMS
avoid,miss,9.13,HYPER/HYPONYMS
try,convince,1.83,NONE
enjoy,live,2.82,NONE
respect,acknowledge,4.98,COHYPONYMS
concentrate,learn,3.49,NONE
perish,die,9.46,SYNONYMS
slip,slide,5.73,SYNONYMS
irritate,bother,8.63,SYNONYMS
destroy,make,2.26,NONE
divide,separate,7.97,SYNONYMS
lounge,relax,7.8,NONE
appear,show,4.98,HYPER/HYPONYMS
toss,catch,3.49,NONE
leap,bound,7.64,SYNONYMS
change,shift,6.81,HYPER/HYPONYMS
hurt,disappoint,5.15,NONE
conquer,control,6.47,HYPER/HYPONYMS
despair,cry,5.64,NONE
divide,split,9.3,SYNONYMS
bluff,lie,7.14,NONE
sip,slurp,5.81,NONE
cook,poach,3.92,HYPER/HYPONYMS
smash,crush,9.46,SYNONYMS
sneeze,sniff,2.82,NONE
throw,kick,1.66,COHYPONYMS
flap,cover,0.66,NONE
dip,chew,1.99,NONE
pull,press,2.49,ANTONYMS
embarrass,insult,5.15,NONE
talk,persuade,4.15,NONE
disguise,cover,5.58,COHYPONYMS
shine,rise,2.16,NONE
hold,seize,4.81,NONE
get,give,1.49,HYPER/HYPONYMS
attend,leave,1.16,NONE
prosper,gain,7.3,NONE
predict,guess,7.8,HYPER/HYPONYMS
hamper,bother,4.98,NONE
move,walk,6.81,HYPER/HYPONYMS
stir,blend,7.14,NONE
leave,travel,5.98,NONE
hesitate,pause,8.13,SYNONYMS
tap,rap,4.48,SYNONYMS
combine,add,7.64,HYPER/HYPONYMS
like,enjoy,8.63,HYPER/HYPONYMS
travel,fly,5.48,HYPER/HYPONYMS
move,haul,7.14,HYPER/HYPONYMS
die,condemn,1.33,NONE
sting,bite,3.32,SYNONYMS
build,accumulate,3.98,NONE
wear,adorn,3.98,NONE
pick,prefer,6.47,NONE
wag,move,3.62,HYPER/HYPONYMS
send,return,1.99,HYPER/HYPONYMS
hurt,squeeze,2.82,NONE
separate,remove,5.15,NONE
ignore,forget,2.32,NONE
depend,rely,9.46,HYPER/HYPONYMS
release,give,3.32,COHYPONYMS
soak,drench,9.13,SYNONYMS
advance,pay,2.99,NONE
catch,lose,1,NONE
roam,follow,2.82,NONE
read,spell,1.33,NONE
excel,win,6.14,NONE
forbid,allow,0.17,ANTONYMS
tan,burn,3.65,NONE
pause,stop,6.64,COHYPONYMS
confess,deny,0,NONE
express,say,6.31,HYPER/HYPONYMS
change,rearrange,7.3,NONE
win,defeat,1.49,NONE
disintegrate,destroy,6.97,NONE
prohibit,allow,0.5,ANTONYMS
allow,ban,1.49,NONE
swallow,gulp,8.13,COHYPONYMS
shuffle,ride,1,NONE
argue,agree,1.66,NONE
slip,cover,2.16,NONE
punish,scold,6.94,NONE
fall,stand,0.83,COHYPONYMS
confess,tell,6.31,NONE
condemn,punish,6.14,NONE
fade,tarnish,2.49,NONE
fade,disappear,8.3,HYPER/HYPONYMS
urge,suggest,5.89,HYPER/HYPONYMS
confuse,explain,1.16,NONE
demolish,break,7.47,NONE
attend,go,7.14,COHYPONYMS
rap,knock,6.64,HYPER/HYPONYMS
direct,steer,6.97,SYNONYMS
transplant,replace,4.98,NONE
hurt,soar,0.66,NONE
crunch,break,4.81,HYPER/HYPONYMS
warn,tell,6.14,HYPER/HYPONYMS
recruit,get,6.47,HYPER/HYPONYMS
decorate,adorn,6.81,SYNONYMS
run,hustle,3.15,COHYPONYMS
have,give,1.49,SYNONYMS
sip,stir,1.16,NONE
chop,grate,3.49,NONE
suspect,think,6.64,HYPER/HYPONYMS
hate,like,1.16,NONE
prohibit,disallow,9.63,SYNONYMS
aim,shoot,3.32,NONE
fix,alter,4.32,HYPER/HYPONYMS
compete,fight,6.14,NONE
ridicule,criticize,5.15,NONE
obtain,acquire,9.79,HYPER/HYPONYMS
succeed,prosper,7.8,NONE
glide,fly,7.14,HYPER/HYPONYMS
duplicate,repeat,7.14,SYNONYMS
gather,recruit,5.48,NONE
replace,give,1.83,NONE
ask,try,1.33,NONE
make,prepare,7.3,HYPER/HYPONYMS
touch,pat,7.3,HYPER/HYPONYMS
show,hide,2.16,ANTONYMS
remember,remind,5.98,NONE
